한국,6
국내,6
출시,6
호점,4
애플,9
개발,6
업체,6
경쟁,5
앱스토어,4
영국,3
조사,3
불공정,3
계약,3
착수,2
애플,13
현대차,8
논의,7
전기차,6
기아,4
블룸버그,4
보도,4
중단,3
협력,3
개발,3
애플,25
여의도,14
고객,7
스토어,6
가로수길,4
측은,4
국내,4
제공,4
이승윤,3
한국,3
애플,7
현대차,5
자율,4
기아,3
협의,3
진행,3
주행,3
개발,3
차량,2
공시,2
애플,37
현대차,24
협력,18
그룹,12
비밀,9
전기차,9
중단,8
생산,7
주의,6
자율,6
애플,26
이통,11
수리,10
할인,7
광고,7
센터,7
부담,7
이행,7
지원,6
정안,6
애플,38
공정위,13
동의,12
의결,12
국내,9
광고,9
수리,8
기금,7
최종,7
이통,7
애플,10
매장,10
미국,5
이후,5
지난해,4
모든,4
모두,3
개점,3
처음,3
코로나,3
주식,7
버크셔,5
웨이,5
보유,5
투자,4
업체,4
버핏,3
애플,3
버라이즌,3
작년,3
애플,8
개발,6
자동차,6
전기차,6
현대차,5
기아,5
자율,4
주행,4
협의,4
진행,4
생산,16
전기차,13
애플,12
폭스콘,12
피스,10
업체,4
협력,3
모델,3
이상,3
차량,3
애플,35
현대차,26
그룹,23
생산,15
기아,12
보도,10
전기차,7
협력,7
미국,7
블룸버그,7
애플,12
업체,9
일본,6
생산,6
전기차,5
협상,4
타진,4
자동차,4
현대,3
기아,3
애플,21
현대차,15
협력,11
자율,10
주행,9
자동차,8
차량,6
그룹,6
프로젝트,5
기술,5
기술,5
급락,4
지수,4
하락,4
하원,4
전날,3
상승,3
게임스탑,3
다우,2
나스닥,2
오큘러스,12
애플,12
헤드셋,9
퀘스트,9
페이스북,8
작년,8
기기,7
소니,6
전망,6
콘텐츠,6
애플,11
협력,4
협상,3
자율,3
주행,3
전기차,3
관련,3
현대차,3
일본,2
닛산,2
애플,7
쿡,4
주주,3
대한,3
배당,2
지급,2
이귀,2
최고경영자,2
지난,2
분기,2
주가,18
로켓,12
컴퍼니,10
공매도,9
미국,8
회사,7
주식,7
투자자,6
거래,6
업체,6
애플,7
협의,6
중단,6
개발,6
현대차,5
재개,4
가능성,4
업계,4
협상,4
진행,3
애플,12
현대,6
협상,5
생산,4
마무리,4
단계,4
소식통,4
기아,3
기아차,3
정성호,2
애플,7
스마트폰,4
전자,3
가트너,3
시장점유율,3
샤오미,2
삼성,2
휴대폰,2
추정,2
글로벌,2
아이폰,49
애플,25
프로,23
카메라,16
사진,11
기능,11
판매,10
제공,9
미국,9
한국,9
현대차,11
애플,9
협력,6
주가,5
기아,4
그룹,4
중단,3
자율,3
주행,3
전기차,3
기업,8
표현,7
자유,7
트럼프,7
미국,5
트위터,5
난입,4
폭력,4
거대,4
대통령,4
애플,10
현대차,9
개발,6
협의,5
전기차,5
진행,4
그룹,4
급락,3
중단,3
관련,3
애플,11
자동차,6
업체,5
공유,4
협력,4
기술,3
파트너,3
대형,3
선택,2
현대차,2
기아,43
전기차,27
모빌리티,15
주행,12
사업,12
서비스,12
출시,11
통해,11
판매,11
시장,11
애플,32
현대,12
기아,12
자율,10
주행,9
소식통,8
협상,7
생산,6
시장,6
개발,6
애플,11
이익,9
삼성,9
점유,9
전자,7
스마트폰,6
세계,5
작년,5
동기,5
분기,4
애플,33
탑재,16
성능,14
최대,14
맥북에어,13
개발,12
노트북,10
자체,9
맥북프로,9
공개,9
기아,18
현대차,17
애플,10
그룹,10
주가,9
전기차,5
협업,5
올해,4
마감,4
모비스,4
애플,9
에어팟,5
프로,5
문제,3
잡음,2
리콜,2
채새롬,2
이어폰,2
노이즈,2
슬링,2
현대차,12
애플,11
개인,8
매수,8
그룹,7
주가,5
주식,5
기아,5
현대,5
개발,4
현대차,21
그룹,18
전기차,14
애플,8
기아,8
전용,7
출시,6
모빌리티,6
타이거,6
자율,6
애플,17
보안,16
가이드,6
기기,5
업데이트,4
기능,4
강조,3
플랫폼,3
아이폰,3
데스크톱,3
금리,11
하락,10
상승,8
국채,7
지수,7
오후,7
나스닥,6
거래,6
이후,5
기술,4
애플,22
현대차,20
기아,11
그룹,10
공시,9
전기차,8
협력,7
논의,6
시장,6
주가,5
애플,16
상치,7
매출,6
아이폰,6
달러,5
시장,4
대한,4
지난해,3
코로나,3
아이패드,3
애플,7
페이,7
대한항공,4
결제,3
미주,2
지역,2
출발,2
항공권,2
구매,2
최평,2
애플,8
협력,5
제조,4
블룸버그,3
이상,2
상대,2
정모,2
회사,2
번스타인,2
자동차,2
애플,14
수수료,12
결제,12
개발자,11
앱스토어,10
구글,8
개발,8
프로그램,7
중소,6
달러,6
아이폰,13
애플,9
서비스,7
지원,4
제공,4
버라이즌,4
속도,4
처음,3
적용,3
공개,3
결제,14
법안,14
애플,10
인앱,10
구글,7
에픽,5
게임,5
앱스토어,5
수수료,5
배포,4
애플,5
협상,4
기아차,3
코스피,3
강세,3
급락,2
이상,2
전날,2
중이,2
보도,2
애플,25
전기차,12
시장,8
생산,7
아이카,5
세계,5
자율,5
테크,4
회사,4
보도,4
기아차,5
애플,5
급등,3
서울,3
기아,3
투자,2
로고,2
본사,2
건물,2
자동차,2
주가,19
기업,14
미국,8
에너지,7
증시,6
기술,6
부문,6
업체,6
금리,5
뉴욕,5
애플,9
기아차,6
월스트리트저널,4
자동차,4
접촉,3
미국,3
협상,3
파트너,2
관련,2
소식통,2
애플,9
현대차,8
그룹,5
협력,3
전기차,3
생산,3
배터리,3
개발,3
중이,2
시간,2
기아,18
전기차,11
차량,6
전용,6
출시,5
올해,5
기업,4
주행,4
서비스,4
통해,3
애플,46
아이폰,14
통제,13
세계,10
광고,10
페이스북,9
프라이버시,8
현대,8
자동차,8
수준,8
현대차,14
애플,14
기아,7
협의,6
전기차,6
주가,6
그룹,5
